"idproducto","producto","referencia","tipo","idcategoria","estado","url","idmarca","activo","unidad","facturacion","idbodega","cuenta_inv","cuenta_ing","tributo","costo","ingreso","egreso","saldo","codigo","lifo","codigob","tipourl","minimo","cuenta_gas","controlserie","registro","partida","fob","promedio","fifo"
1878,"CINTAS MÁGICAS PARA REGISTRO DE IMPRONTA.","MATERIAL DE OFICINA  PARA LA UNIDAD DE  DE TRÁNSITO DE NUESTRO CANTÓN.","B",83,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.04.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","0                   ","0.000000","0                                                 ",1,"5","631.54.01","N",NULL,NULL,NULL,NULL,NULL
1738,"CANALETA 20X12 CON ADHESIVO","MATERIALES PARA ILUMINAR EL HALL DE INGRESO AL GAD MUNICIPAL DEL CANTÓN CHIMBO","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","2.464000","20.000000","20.000000","0.000000","0                   ","2.200000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"2.464000",NULL
1795,"RETENEDOR DEL CIGUEÑAL  MOTOBOMBA ISUZO","REPUESTOS Y ACCESORIOS, PARA LA MAQUINARIA Y VEHÍCULOS DEL GADMCCH.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","16.800000","1.000000","1.000000","0.000000","0                   ","15.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"16.800000",NULL
2283,"JUEGO BOCINES DEL ARBOL DE LEVAS CAMION CHEV, NHR","REPUESTOS Y ACCESORIOS PARA LA RECTIFICACION DEL CAMION CHEV. NHR DE PROPIEDAD MPAL.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","-","26.000000","1.000000","1.000000","0.000000","No Aplica           ","26.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"26.000000",NULL
1770,"CAJA DE PASO 18X15 IP55","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","11.200000","36.000000","36.000000","0.000000","0                   ","10.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"11.200000",NULL
1859,"FILTRO COMBUSTIBLE F-5138    VOLQ. NISSAN NO.01","REPUESTOS Y ACCESORIOS PARA LA MAQUINARIA Y VEHÍCULOS DEL GADMCCH.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","8.960000","1.000000","1.000000","0.000000","0                   ","8.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"8.960000",NULL
1944,"RETENEDORES 65/72/8 CAJA DE VELOCIDADES","RETENEDORES 65/72/8 CAJA DE VELOCIDADES","B",88,"S ","-                                                           ",1,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","5.040000","2.000000","2.000000","0.000000","xml-0               ","4.500000","-                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"5.040000",NULL
1773,"CINTA AISLANTE AUTOFUNDENTE","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","11.536000","20.000000","20.000000","0.000000","0                   ","10.300000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"11.536000",NULL
2001,"CAÑERIA SEGUN MUESTRA     RECOLECTOR DINA","REPUESTOS PARA LA REPARACIÓN DEL MOTOR DEL RECOLECTOR DE BASURA DINA DE PROPIEDAD MUNICIPAL......","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","22.000000","1.000000","1.000000","0.000000","No Aplica           ","22.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"22.000000",NULL
2134,"OJOS DE BUEY EMPOTRABLES  DE 3W LUZ CALIDA","COMPRA DE MATERIALES ELESTRICOS PARA LOS TALLERES  MUNICIPALES","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","T","5.000000","6.000000","6.000000","0.000000","No Aplica           ","5.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"5.000000",NULL
