"idproducto","producto","referencia","tipo","idcategoria","estado","url","idmarca","activo","unidad","facturacion","idbodega","cuenta_inv","cuenta_ing","tributo","costo","ingreso","egreso","saldo","codigo","lifo","codigob","tipourl","minimo","cuenta_gas","controlserie","registro","partida","fob","promedio","fifo"
"300","BOTAS INDUSTRIAL CON PUNTA DE ACERO  MILBBOTS T38.","4155","B","82","S ","-                                                           ","253",,"Par                                               ","N","2","152.38.02.001                 ","-                             ","I","24.52","4","1","3","4155                ","24.52","-                                                 ","1","5","631.54.01","N","0260000680001",,,"24.52",
"305","TRAJE IMPERMEABLE EN PVC C12  T/XL.","4164","B","82","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.02.001                 ","-                             ","I","21.02","5","0","5","4164                ","21.02","-                                                 ","1","5","631.54.01","N","0260000680001",,,"21.02",
"205","BEARING","325","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","21.76","2","0","2","325                 ","21.76","-                                                 ","1","5","631.54.01","N","0260000680001",,,"21.76",
"1194","PERFORADORA NORMAL","CARGA INICIAL","B","83","S ",,"253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","I","3.47","8","7","1","0707                ","3.47","0                                                 ","1","1","634.08.04","N","0260000680001",,,"3.47",
"1502","ACEITE 85W140 GL5 TOTAL TRANSTEC","ACEITE 85W140 GL5 TOTAL TRANSTEC","B","85","S ",,,,"Unidad                                            ","N","2","152.38.03.001                 ","-                             ","I","4.84","12","0","12","0                   ","4.84","0                                                 ","1","0","631.54.01","N","0260000680001",,,"4.84",
"1550","CUCHILLAS DE 13 HUECOS MOTONIVELADORA KOMATSU","FILTROS  Y REPUESTOS PARA VEHICULOS Y MAQUINARIA MUNICIPAL","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","347.2","2","1","1","0                   ","347.2","0                                                 ","1","5","631.54.01","N","0260000680001",,,"347.2",
"206","OIL PUMP GR","326","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","3483.47","1","0","1","326                 ","3483.47","-                                                 ","1","5","631.54.01","N","0260000680001",,,"3483.47",
"1704","ESPECIES DE PATENTES NUMERADAS DESDE EL 2001 AL 3000 EN PAPEL QUÍMICO ORIGINAL Y COPIA","ESPECIES DE PATENTES NUMERADAS DESDE EL 2001 AL 3000 EN PAPEL QUÍMICO ORIGINAL Y COPIA","B","92","S ",,,,"Unidad                                            ","N","16","-                             ","-                             ","-","NaN","1000","1000","0","0                   ","0.09","0                                                 ","1","0","0","N","0260000680001",,,"0.09",
"1774","CINTA AISLANTE 33+","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B","87","S ",,,,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","5.6","20","0","20","0                   ","5","0                                                 ","1","5","0","N","0260000680001",,,"5.6",
"1267","TRAJE BIOSEGURIDAD","-","B","82","S ",,"253",,"Unidad                                            ","N","2","152.38.02.001                 ","-                             ","I","10","25","25","0","-                   ","10","SD                                                ","1","1","631.54.01","N","0260000680001",,,"10",
"1685","CUARTONES DE MADERA DE 3 M X 5","MATERIAL DE CONSTRUCCIÓN PARA EL CENTRO DE REVISIÓN VEHÍCULAR DEL CANTÓN CHIMBO....","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ",,"I","NaN","5","5","0","0                   ","3.5","0                                                 ","1","5","631.54.01","N","0260000680001",,,"3.92",
"1706","ESPECIES DE PLUSVALÍA NUMERADAS DESDE 1301 AL 1700 EN PAPEL QUÍMICO ORIGINAL Y DOS COPIAS","ESPECIES DE PLUSVALÍA NUMERADAS DESDE 1301 AL 1700 EN PAPEL QUÍMICO ORIGINAL Y DOS COPIAS","B","92","S ",,,,"Unidad                                            ","N","16","-                             ","-                             ","-","NaN","500","500","0","0                   ","0.12","0                                                 ","1","0","0","N","0260000680001",,,"0.12",
"1747","FILTRO COMBUSTIBLE (TANQUE) S234011441 HINO","FILTRO COMBUSTIBLE (TANQUE) S234011441 HINO","B","88","S ",,"116",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","41.36","9","1","8","0                   ","36.93","0                                                 ","1","0","631.54.01","N","0260000680001",,,"41.36",
"1104","CLAVOS DE ACERO DE 3 PULGADAS","ADQUISICION DE MATERIALES DE CONSTRUCCION PARA UTILIZAR EN LOS MERCADOS Y PLAZAS","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","5.8","0","0","0","5318                ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"5.8",
"281","PET LUBENGRA SAE 140.","3142","B","85","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.03.001                 ","-                             ","I","9.17","105.5","7","98.5","3142                ","9.17","-                                                 ","1","5","631.54.01","N","0260000680001",,,"9.17",
"1510","FILTRO DE COMBUSTIBLE 23304EV290 TANQUERO","FILTRO DE COMBUSTIBLE 23304EV290 TANQUERO","B","88","S ",,,,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","52.27","1","0","1","0                   ","52.27","0                                                 ","1","0","631.54.01","N","0260000680001",,,"52.27",
"1735","REFLECTOR DE 20 W","ILUMINACIÓN DEL HALL DE INGRESO AL GAD MUNICIPAL DEL CANTÓN CHIMBO...","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","56","8","0","8","0                   ","50","0                                                 ","1","5","631.54.01","N","0260000680001",,,"56",
"86","TONER SANSUNG CLP 315 MAGENTA","0229","B","92","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.07.001                 ","-                             ","I","46","1","0","1","0229                ","46","SD                                                ","1","5","634.08.07","N","0260000680001",,,"46",
"1749","LUMINARIA SELLADA CON LED INTEGRADO 40W  6000K  PIMCH","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B","87","S ",,,,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","24.08","29","0","29","0                   ","21.5","0                                                 ","1","5","0","N","0260000680001",,,"24.08",
"72","DETERGENTE 901-DE 2KL.","1200","B","79","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.05.001                 ","-                             ","I","2.12","70","11","59","1200                ","2.12","-                                                 ","1","5","634.08.05","N","0260000680001",,,"2.12",
"102","CARTUCHO EPSON R103420 YELLOW.","0835","B","92","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.07.001                 ","-                             ","I","39.9","2","0","2","0835                ","39.9","SD                                                ","1","5","634.08.07","N","0260000680001",,,"39.9",
"1250","CUARTONES DE MADERA","-","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","4.5","5","5","0","-                   ","3.5","SD                                                ","1","5","631.54.01","N","0260000680001",,,"4.5",
"1736","REFLECTOR DE 100 W    HMCH","MATERIALES PARA ILUMINAR EL HALL DE INGRESO AL GAD MUNICIPAL DEL CANTÓN CHIMBO","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","72.8","1","0","1","0                   ","65","0                                                 ","1","5","631.54.01","N","0260000680001",,,"72.8",
